ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
73169,,,55.117681215146646,72.78999999999999,,,,
73173,,52.76269500817701,,,75.322,,,
73188,,,,73.32,,,,
73192,,75.5,,,,,,
73196,,,69.25812004072782,75.86,,,,
73199,,,,,75.664,,,
73200,,74.11,,,,,,
73209,,,,,,,60.81080838602348,72.202
73217,73.29,,65.23777146635828,,,,,
73218,,,,,,47.49865436653609,61.6846275875546,73.668
73235,,,,,,72.002,,
73238,,76.72,,,,,,
73252,71.35,,60.71678836539327,,,,,
73254,53.54402207468498,,71.328,,,,,
73256,,,,,74.632,,,
73257,,74.33,,,,,,
73259,74.0,,,,,,62.84613101933439,58.167060396999865
73260,,,,,74.75999999999999,,58.95516446880569,
73282,,,76.164,,,,,
73286,,74.47,,,,,,
73288,78.46000000000001,,56.43228403154737,,,,57.95447621930297,
73294,,,,,71.366,,,
73296,,75.42,,,,,,
73298,,,,,,64.68361342130676,51.90626563714841,74.092
73300,,,,,75.568,,,
73301,51.38226009184107,,75.30799999999999,,,,52.694672016625375,
73307,55.700349358826024,,,,,,62.22391708307295,75.746
73310,,,,,70.99600000000001,,,
73311,72.42,,50.871703404201966,,,,59.74981863580418,
73316,,75.49,,,66.5494000650443,,,
73317,,,,,,,75.044,54.483389135888444
73330,,,,,,,73.434,58.89888049751086
73333,,,,,,73.142,,
73348,,,71.23117526679621,75.18,,,,
73349,,78.63,,,,,,
73350,,,75.712,,,,,
73355,,,,,,,76.578,58.13433721853178
73359,,,,,58.75018318350307,,72.548,
73364,,,72.85,,,,58.09655931961617,
73366,,,,,,50.11785629083114,75.396,60.87600218654009
73370,54.656497060732484,,53.741845217925,,,,72.884,
73374,,,75.78397648785678,,,82.288,,
73375,,,,,70.902,,,
73379,52.22626561601749,,74.432,,,,,
73381,,,70.99799999999999,,,,,
73386,,75.65,,,,,,
73392,,,,,72.798,,,
73398,,,,,,81.888,,
73404,,,,,,74.406,,
73405,,,,,73.78399999999999,,,
73406,,,,,,56.92823504780841,61.312898903374716,78.424
73408,,,,,,78.25,,
73412,,,,,75.89,,,
73413,,,,,,,75.99205384619636,80.166
73414,,,,,,,68.76113183208406,77.364
73423,,,,,,72.926,,
73424,,71.21,,,,,,
73426,,,,,,69.59,58.55188919150652,53.93655380487812
73427,,,75.064,58.98408436658955,,,,
73429,,,,,,,76.652,58.29100335140282
73430,,52.71053507812121,,73.85,,,,
73437,74.88,,,,,,58.28825727781624,58.4898830224148
73444,,76.61,,,,,,
73447,,,,,,73.622,,
73449,,,,,,79.174,,
73450,,,,,76.168,,,
73452,,72.14049273090214,,,70.834,,,
73453,,,,,79.208,,,
73456,,78.4,,,,,,
73466,,81.65,,,,,,
73470,,64.50655059129882,,74.93,,,,
73471,50.25756967587941,,,,,,62.40909956231265,73.224
73485,,,50.311484709889555,71.45,,,,
73501,,73.10952682941233,,70.33,,,,
73502,,,,,77.518,,,
73504,,,,,,,62.03886503401699,72.704
73505,56.20607473450953,,56.58937909867664,,,,78.506,
73511,53.204988328417535,,71.322,,,,,
73512,,,,,,71.22,,
73518,57.412609593233185,,73.306,,,,,
73524,,,,,71.696,,,
73561,,,,,,,75.864,57.31690614844669
73582,,,,,,,57.034265512295526,76.94
73585,,,,,,,73.42,54.773238027771775
73596,,,,,73.872,,,
73598,,,,,,73.796,,
73599,,,,,,,75.96000000000001,
73600,,,,,,71.356,,
73607,,,,,,75.874,,
73609,,,,,,,71.668,53.749047156860605
73610,69.22999999999999,,,,,,50.86572657033073,
73615,,,50.42805026444687,,74.962,,62.272133919972546,
73617,,,75.22800000000001,60.083237522021996,,,,
73621,,,,,69.59239930301375,,73.836,
73629,,,,,,75.266,,
73636,,,,,,71.56,59.306692544571895,58.81118041125406
73638,,,73.99000000000001,55.200228817235846,,,,
73642,,,,,69.526,,,
73643,,72.13,,,,,,
73644,,,71.26599999999999,50.10342915166764,,,,
73645,,79.38,,,,,,
73657,,71.81,,,64.066558478648,,,
73673,,,,,72.008,,61.84669273477495,
73680,,,,,,73.408,,
73718,,,,,76.474,,,
73722,,73.28,,50.6544150380786,,,,
73731,,74.76,,,,,,
73746,70.98,,,,,,,
73759,,72.85,,,,,,
73763,,72.78999999999999,,,,,,
73767,,,,,72.076,,,
73846,,,,,73.062,,,
73853,,,,,,77.228,,
73854,,71.39,,,,,,
73861,,,,,,,72.21600000000001,52.41732022958561
73864,,,,,,75.398,63.58647407763118,59.46561317664728
73866,48.75524012953291,,70.572,,,,,
73882,,,,,72.756,,,
73884,55.31647065235164,,77.97,,,,,
73885,,,,,,78.088,,
73887,,,,,,77.094,,
73895,56.014131497971206,,78.386,,,,,
73896,,,,,71.42,,,
73903,70.56,,,,,,53.48448574213979,49.26039097510893
73910,48.2573958045152,,,,,,70.942,53.77639464130419
73914,,,,,,74.876,,
73921,,60.57043301662919,,71.85,,,,
73927,,,71.544,,,,,
73928,,,,,,75.3,,
73930,,72.86,,,,,,
73933,,,,72.45,,,,
73934,,,71.78,51.28262535144976,51.98938382319816,,,
73949,,,,,,77.574,,
73952,,,,,,74.98,,
73956,,75.32,,,,,,
73961,,,,,,65.7361914948961,72.03399999999999,51.17220304984287
73964,74.55,,53.610199992017286,,,,52.81837366793196,
73973,,,70.748,,,,,
73989,,77.61,,,,,,
74018,,,58.768615187913134,72.6,,,,
74020,,77.63,,,,,,
74044,,74.52,,,,,,
74049,,,,,76.758,,,
74050,,73.03,,,,,,
74063,,75.71000000000001,,,52.16205448229053,,,
74067,,,,75.22,,,,
74069,,,75.348,53.04221643997616,,,,
