ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
270475,Patrick Brouwer,Right Midfielder,SC Telstar,Eredivisie,Holland,61,Right,"['CM', 'RW']",25,"176cm / 5'9""",70kg / 154lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,45.484401525792165,57.95,55.901100381448046
254206,Alexander Alvarado,Left Winger,LDU Quito,Libertadores,Ecuador,70,Right,"['CAM', 'LM']",26,"165cm / 5'5""",69kg / 152lb,Winger,Attacking Midfielder,Flexible Position 2,18.32799268226215,67.0,55.88199817056554
73161,Rafael Lubach,Central Midfielder,1. FC Nürnberg,Bundesliga 2,Germany,68,Right,['CAM'],21,"175cm / 5'9""",68kg / 150lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,21.20611534119552,66.95,55.88152883529888
239666,Torben Müsel,Central Midfielder,Rot-Weiss Essen,3. Liga,Germany,64,Right,['CDM'],26,"185cm / 6'1""",76kg / 168lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,32.72329002326272,63.25,55.880822505815686
278187,Tom Louchet,Right Midfielder,OGC Nice,Ligue 1 McDonald's,France,71,Right,"['CM', 'RW']",22,"178cm / 5'10""",66kg / 146lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,14.50811268968921,68.5,55.8770281724223
276976,Javi Hernández,Right Midfielder,RCD Espanyol,LALIGA EA SPORTS,Spain,68,Left,"['CM', 'RW']",22,"176cm / 5'9""",67kg / 148lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,22.73628705839953,65.95,55.864071764599885
240319,Timothy Tillman,Central Midfielder,LAFC,MLS,United States,71,Right,"['CAM', 'LW']",27,"183cm / 6'0""",74kg / 163lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,16.1613985404301,67.4,55.85034963510753
264644,Paddy Lane,Left Midfielder,Reading,EFL League One,Northern Ireland,65,Left,"['LW', 'RM']",25,"175cm / 5'9""",65kg / 143lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,31.339041194329297,63.1,55.824760298582326
211177,Arnór Ingvi Traustason,Central Midfielder,IFK Norrköping,Allsvenskan,Iceland,69,Right,"['CAM', 'CDM']",32,"183cm / 6'0""",75kg / 165lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,15.94795824044169,69.2,55.81698956011042
192451,Graham Carey,Central Midfielder,Livingston,Scottish Prem,Republic of Ireland,68,Left,"['CAM', 'LW']",36,"183cm / 6'0""",74kg / 163lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,14.43001210280039,71.0,55.8075030257001
236838,Youssef Maleh,Central Midfielder,Lecce,Serie A Enilive,Morocco,71,Left,,27,"177cm / 5'10""",74kg / 163lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,10.30095898669465,70.95,55.805239746673664
227995,Liam Walsh,Central Midfielder,Luton Town,EFL League One,England,69,Right,"['CDM', 'CAM', 'CB']",28,"168cm / 5'6""",65kg / 143lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,18.5297145007248,67.55,55.8024286251812
263056,Emir Sahiti,Right Winger,Hamburger SV,Bundesliga,Kosovo,71,Right,['RM'],27,"174cm / 5'9""",65kg / 143lb,Winger,Attacking Midfielder,Flexible Position 2,13.407407674834829,69.0,55.80185191870871
212791,Kim Seung Dae,Striker,Daejeon Hana,K League 1,Korea Republic,62,Right,"['RM', 'CAM']",35,"175cm / 5'9""",64kg / 141lb,Striker,Attacking Midfielder,Flexible Position 1,38.63985643903928,61.1,55.79996410975982
235570,Gaius Makouta,Defensive Midfielder,Alanyaspor,Trendyol Süper Lig,Congo,72,Right,"['CM', 'CAM']",28,"180cm / 5'11""",75kg / 165lb,Defensive Midfielder,Attacking Midfielder,Flexible Position 2,11.43401477649021,69.3,55.778503694122556
234066,Johan Hove,Central Midfielder,AIK,Allsvenskan,Norway,69,Right,"['CAM', 'RM']",25,"177cm / 5'10""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,19.208494702106222,67.05,55.77212367552656
